x,y,z,vx,vy,vz
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
5.78952e+10,53726.9,0,-0.0395873,53726.9,0
