x,y,z,vx,vy,vz
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
2.2799e+11,24902.4,0,-0.00255349,24902.4,0
