x,y,z,vx,vy,vz
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
4.49548e+12,5493.93,0,-6.58429e-06,5493.93,0
